"Step","128 - rollout/ep_rew_mean","128 - rollout/ep_rew_mean__MIN","128 - rollout/ep_rew_mean__MAX","64 - rollout/ep_rew_mean","64 - rollout/ep_rew_mean__MIN","64 - rollout/ep_rew_mean__MAX","32 - rollout/ep_rew_mean","32 - rollout/ep_rew_mean__MIN","32 - rollout/ep_rew_mean__MAX"
"127","0.6002196669578552","0.6002196669578552","0.6002196669578552","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"128","0.635195791721344","0.635195791721344","0.635195791721344","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"129","0.635195791721344","0.635195791721344","0.635195791721344","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"130","0.635195791721344","0.635195791721344","0.635195791721344","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"131","0.635195791721344","0.635195791721344","0.635195791721344","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"132","0.635195791721344","0.635195791721344","0.635195791721344","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"133","0.635195791721344","0.635195791721344","0.635195791721344","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"134","0.6828068494796753","0.6828068494796753","0.6828068494796753","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"135","0.6828068494796753","0.6828068494796753","0.6828068494796753","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"136","0.6828068494796753","0.6828068494796753","0.6828068494796753","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"137","0.6828068494796753","0.6828068494796753","0.6828068494796753","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"138","0.6828068494796753","0.6828068494796753","0.6828068494796753","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"139","0.6828068494796753","0.6828068494796753","0.6828068494796753","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"140","0.7043257355690002","0.7043257355690002","0.7043257355690002","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"141","0.7043257355690002","0.7043257355690002","0.7043257355690002","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"142","0.7043257355690002","0.7043257355690002","0.7043257355690002","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"143","0.7043257355690002","0.7043257355690002","0.7043257355690002","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"144","0.7043257355690002","0.7043257355690002","0.7043257355690002","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"145","0.7043257355690002","0.7043257355690002","0.7043257355690002","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"146","0.7668023705482483","0.7668023705482483","0.7668023705482483","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"147","0.7668023705482483","0.7668023705482483","0.7668023705482483","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"148","0.7668023705482483","0.7668023705482483","0.7668023705482483","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"149","0.7668023705482483","0.7668023705482483","0.7668023705482483","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"150","0.7668023705482483","0.7668023705482483","0.7668023705482483","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"151","0.7668023705482483","0.7668023705482483","0.7668023705482483","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"152","0.782376766204834","0.782376766204834","0.782376766204834","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"153","0.782376766204834","0.782376766204834","0.782376766204834","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"154","0.782376766204834","0.782376766204834","0.782376766204834","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"155","0.782376766204834","0.782376766204834","0.782376766204834","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"156","0.782376766204834","0.782376766204834","0.782376766204834","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"157","0.782376766204834","0.782376766204834","0.782376766204834","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"158","0.7971836924552917","0.7971836924552917","0.7971836924552917","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"159","0.7971836924552917","0.7971836924552917","0.7971836924552917","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
"160","0.7971836924552917","0.7971836924552917","0.7971836924552917","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239","-3.8034746646881104","-3.8034746646881104","-3.8034746646881104"
