"Step","Batch Size = 32768 - rollout/ep_rew_mean","Batch Size = 32768 - rollout/ep_rew_mean__MIN","Batch Size = 32768 - rollout/ep_rew_mean__MAX","Batch Size = 16384 - rollout/ep_rew_mean","Batch Size = 16384 - rollout/ep_rew_mean__MIN","Batch Size = 16384 - rollout/ep_rew_mean__MAX","Batch Size = 8192 - rollout/ep_rew_mean","Batch Size = 8192 - rollout/ep_rew_mean__MIN","Batch Size = 8192 - rollout/ep_rew_mean__MAX","Batch Size = 2048 - rollout/ep_rew_mean","Batch Size = 2048 - rollout/ep_rew_mean__MIN","Batch Size = 2048 - rollout/ep_rew_mean__MAX"
"54","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"55","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"56","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"57","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"58","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"59","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"60","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"61","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"62","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"63","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"64","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"65","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"66","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"67","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"68","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"69","-3.568192720413208","-3.568192720413208","-3.568192720413208","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-1.5072247982025146","-1.5072247982025146","-1.5072247982025146","-0.08451670408248901","-0.08451670408248901","-0.08451670408248901"
"70","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"71","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"72","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"73","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"74","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"75","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"76","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"77","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"78","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"79","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"80","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"81","-3.3254475593566895","-3.3254475593566895","-3.3254475593566895","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-1.0772733688354492","-1.0772733688354492","-1.0772733688354492","0.30651164054870605","0.30651164054870605","0.30651164054870605"
"82","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"83","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"84","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"85","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"86","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"87","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"88","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"89","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"90","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"91","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"92","-2.817622423171997","-2.817622423171997","-2.817622423171997","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-0.7298819422721863","-0.7298819422721863","-0.7298819422721863","0.6053596138954163","0.6053596138954163","0.6053596138954163"
"93","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"94","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"95","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"96","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"97","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
