"Step","With Normalization - rollout/ep_rew_mean","With Normalization - rollout/ep_rew_mean__MIN","With Normalization - rollout/ep_rew_mean__MAX","Without Normalization - rollout/ep_rew_mean","Without Normalization - rollout/ep_rew_mean__MIN","Without Normalization - rollout/ep_rew_mean__MAX"
"206","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"207","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"208","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"209","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"210","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"211","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"212","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"213","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"214","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"215","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"216","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"217","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"218","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"219","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"220","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"221","0.8244982361793518","0.8244982361793518","0.8244982361793518","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"222","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"223","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"224","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"225","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"226","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"227","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"228","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"229","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"230","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"231","0.8053105473518372","0.8053105473518372","0.8053105473518372","0.4587588906288147","0.4587588906288147","0.4587588906288147"
