"Step","Absolute Mode - rollout/ep_rew_mean","Absolute Mode - rollout/ep_rew_mean__MIN","Absolute Mode - rollout/ep_rew_mean__MAX","Relative Mode - rollout/ep_rew_mean","Relative Mode - rollout/ep_rew_mean__MIN","Relative Mode - rollout/ep_rew_mean__MAX"
"127","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"128","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"129","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"130","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"131","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"132","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"133","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"134","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"135","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"136","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"137","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"138","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"139","0.2150951325893402","0.2150951325893402","0.2150951325893402","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"140","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"141","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"142","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"143","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"144","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"145","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"146","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
