"Step","[256,128,64] - rollout/ep_rew_mean","[256,128,64] - rollout/ep_rew_mean__MIN","[256,128,64] - rollout/ep_rew_mean__MAX","[256,128] - rollout/ep_rew_mean","[256,128] - rollout/ep_rew_mean__MIN","[256,128] - rollout/ep_rew_mean__MAX","[128,64] - rollout/ep_rew_mean","[128,64] - rollout/ep_rew_mean__MIN","[128,64] - rollout/ep_rew_mean__MAX"
"131","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"132","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"133","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"134","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"135","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"136","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"137","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"138","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"139","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"140","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"141","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"142","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"143","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"144","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"145","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"146","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"147","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"148","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"149","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"150","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"151","0.3381623923778534","0.3381623923778534","0.3381623923778534","-0.6158505082130432","-0.6158505082130432","-0.6158505082130432","-1.7273650169372559","-1.7273650169372559","-1.7273650169372559"
"152","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
"153","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
"154","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
"155","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
"156","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
"157","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
"158","0.48123741149902344","0.48123741149902344","0.48123741149902344","-0.3547447919845581","-0.3547447919845581","-0.3547447919845581","-1.5235207080841064","-1.5235207080841064","-1.5235207080841064"
