"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"69","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"70","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"71","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"72","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"73","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"74","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"75","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"76","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"77","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"78","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"79","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"80","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
"81","-2.7122721672058105","-2.7122721672058105","-2.7122721672058105","-2.055809736251831","-2.055809736251831","-2.055809736251831","-2.424529552459717","-2.424529552459717","-2.424529552459717"
