time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/std,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
15020,90177536,172,6003,0.0001,-2.804366121068597,0.4420245289802551,-0.026259057223796844,0.37722522020339966,0.06099343299865723,0.0050024684,1368,0.0007649276851680042,0.2,0.000863601531364111,-0.07407478909473866,360.0
15030,90701824,173,6034,0.0001,-2.757909409701824,0.9081419482827187,-0.026736769825220108,0.37372449040412903,0.05772733688354492,0.0060286666,1376,-0.0002283674834870908,0.2,6.13448344211065e-05,-0.07407478909473866,360.0
15040,91226112,174,6065,0.0001,-2.7372606368735433,0.6235777735710144,-0.027608511969447136,0.37469443678855896,0.05256843566894531,0.005252789,1384,0.0006426735026252572,0.2,0.0009366051706365397,-0.07407478909473866,360.0
15045,91750400,175,6098,0.0001,-2.706836484372616,0.9335950091481209,-0.028240839019417763,0.371586412191391,0.05610036849975586,0.00519034,1392,-0.00015657485778319824,0.2,7.414582334774877e-05,-0.061529615374747666,360.0
15055,92274688,176,6128,0.0001,-2.675511403940618,0.4180622100830078,-0.026017747819423676,0.3712015450000763,0.059577226638793945,0.0061904388,1400,0.0007173573853833659,0.2,0.0003853888638332137,-0.061529615374747666,360.0
15065,92798976,177,6159,0.0001,-2.5712754847481847,0.7283166348934174,-0.032102927565574646,0.36316367983818054,0.06096339225769043,0.007049871,1408,-0.003957472717956989,0.2,3.3159346621403074e-05,-0.061529615374747666,360.0
15074,93323264,178,6190,0.0001,-2.51862417999655,0.5646498501300812,-0.025255834683775902,0.36354073882102966,0.06284046173095703,0.006642799,1416,0.0008083949401225254,0.2,0.0007447057573699567,-0.061529615374747666,360.0
15083,93847552,179,6221,0.0001,-2.479958686977625,0.9162222370505333,-0.02675149403512478,0.35983818769454956,0.06622910499572754,0.006392055,1424,-2.9537364753196016e-05,0.2,7.642053725476217e-05,-0.061529615374747666,360.0
15087,94371840,180,6255,0.0001,-2.453752763569355,0.7144697904586792,-0.023382849991321564,0.36055880784988403,0.06546831130981445,0.0054245135,1432,0.0008859376215468728,0.2,0.0009082045155537344,-0.04647063231095672,360.0
15097,94896128,181,6285,0.0001,-2.4603571416810155,0.7418259084224701,-0.020693711936473846,0.3608267903327942,0.05614900588989258,0.0051910253,1440,0.0008337979886618996,0.2,0.0005205875925184955,-0.04647063231095672,360.0
15106,95420416,182,6316,0.0001,-2.3954449854791164,0.8182227164506912,-0.02613118477165699,0.355381578207016,0.06113576889038086,0.005792381,1448,-0.0013136734917225112,0.2,4.384112166633258e-05,-0.04647063231095672,360.0
15116,95944704,183,6347,0.0001,-2.3486291356384754,0.3630720376968384,-0.019380398094654083,0.35539788007736206,0.051932334899902344,0.005655273,1456,0.0005663706604082108,0.2,0.000739297388236082,-0.04647063231095672,360.0
15126,96468992,184,6377,0.0001,-2.3319532284369835,0.914525493979454,-0.0029626747127622366,0.3537066578865051,0.07431311974158654,0.02939999,1461,0.0011380921816453338,0.2,0.0001723856348969723,-0.04647063231095672,360.0
15135,96993280,185,6408,0.0001,-2.316389069892466,0.6234633028507233,-0.02359749935567379,0.35414350032806396,0.06839942932128906,0.0046314723,1469,0.0009750080453159171,0.2,0.0008716498061858147,-0.04647063231095672,360.0
15139,97517568,186,6441,0.0001,-2.2956127282232046,0.9294055849313736,-0.024323726072907448,0.3521890938282013,0.0682535171508789,0.0068203057,1477,0.0005789893407381896,0.2,0.00010542251209244569,-0.014345027278177441,360.0
15148,98041856,187,6472,0.0001,-2.2744858972728252,0.6380939185619354,-0.022062649950385094,0.3520101010799408,0.07474207878112793,0.0068388595,1485,0.0011956093567278003,0.2,0.00042637659737465583,-0.014345027278177441,360.0
15156,98566144,188,6503,0.0001,-2.169512235559523,0.6519568264484406,-0.025294531136751175,0.3442879617214203,0.06569766998291016,0.007501959,1493,-0.0038427589856837585,0.2,4.0284389370981444e-05,-0.014345027278177441,360.0
15165,99090432,189,6534,0.0001,-2.119633403606713,0.4886466860771179,-0.021290667355060577,0.34481388330459595,0.0663447380065918,0.0054236124,1501,0.0011027979960545053,0.2,0.0007905849786311592,-0.014345027278177441,360.0
15172,99614720,190,6565,0.0001,-2.0853216350078583,0.9173333644866943,-0.02123144455254078,0.34183481335639954,0.08043503761291504,0.0063186632,1509,0.0004318155995406414,0.2,6.345498680104811e-05,-0.014345027278177441,360.0
15180,100139008,191,6596,0.0001,-2.055531870573759,0.644243597984314,-0.020758969709277153,0.3422837555408478,0.06691145896911621,0.005578433,1517,0.0011433974648298317,0.2,0.0010755381822491472,-0.014345027278177441,360.0
15185,100663296,192,6628,0.0001,-2.0377750359475613,0.9414419457316399,-0.01912015862762928,0.3404310643672943,0.06993389129638672,0.005653207,1525,0.0004963875348948932,0.2,8.37805589810614e-05,-0.05722761960700154,360.0
15194,101187584,193,6659,0.0001,-2.0132598830386996,0.2504298686981201,-0.019372321665287018,0.34004077315330505,0.06397080421447754,0.0053393533,1533,0.0007317212025554909,0.2,0.000348498077187287,-0.05722761960700154,360.0
15202,101711872,194,6690,0.0001,-1.9100275146774948,0.7184647917747498,-0.025065749883651733,0.3327666223049164,0.06924319267272949,0.007201803,1541,-0.003373908722323904,0.2,3.7217730849192776e-05,-0.05722761960700154,360.0
15210,102236160,195,6721,0.0001,-1.8515189541503787,0.6348000168800354,-0.017804184928536415,0.3328784704208374,0.06666207313537598,0.006229946,1549,0.0008368586641154252,0.2,0.0006065359330023057,-0.05722761960700154,360.0
15217,102760448,196,6752,0.0001,-1.8094657571054995,0.9202419146895409,-0.01896696910262108,0.32969725131988525,0.07150435447692871,0.006999398,1557,-0.0003038786992419773,0.2,5.4390885566135694e-05,-0.05722761960700154,360.0
15221,103284736,197,6785,0.0001,-1.7767333551310003,0.8754980191588402,-0.01730651967227459,0.32967984676361084,0.0733184814453125,0.0067033917,1565,0.0006536034691180248,0.2,0.00038897897104561707,0.027934010236058383,360.0
15229,103809024,198,6816,0.0001,-1.777919232379645,0.7104417681694031,-0.017839057371020317,0.3300350308418274,0.07009696960449219,0.0054006204,1573,0.0011290426066352666,0.2,0.0005877208072888607,0.027934010236058383,360.0
15238,104333312,199,6846,0.0001,-1.7043681698851287,0.6808553636074066,-0.01916610077023506,0.32446157932281494,0.07049703598022461,0.006645765,1581,-0.001516305266704876,0.2,3.999340637506066e-05,0.027934010236058383,360.0
15247,104857600,200,6877,0.0001,-1.6566571644507349,0.379554808139801,-0.016802078112959862,0.3245934844017029,0.06237387657165527,0.006661106,1589,0.0008983560144315561,0.2,0.000787714634952863,0.027934010236058383,360.0
15254,105381888,201,6908,0.0001,-1.6200838685035706,0.9151876196265221,-0.01651139371097088,0.32185375690460205,0.06971430778503418,0.0062581906,1597,0.00014970103507039312,0.2,5.9566476593886364e-05,0.027934010236058383,360.0
15262,105906176,202,6939,0.0001,-1.5922572929412127,0.605701208114624,-0.014182176440954208,0.3219083845615387,0.06380629539489746,0.0058241324,1605,0.0008356285043191747,0.2,0.0009672071914792468,0.027934010236058383,360.0
15265,106430464,203,6971,0.0001,-1.5652439161203802,0.9345948994159698,-0.01690281368792057,0.3200741708278656,0.07962775230407715,0.0076299096,1613,0.0006642215978445165,0.2,9.940359261406684e-05,0.03599587479955517,360.0
15273,106954752,204,7002,0.0001,-1.5455276449210942,0.5519198179244995,-0.014833923429250717,0.32003894448280334,0.0713801383972168,0.0056162006,1621,0.0010824006883467518,0.2,0.00038237381238559465,0.03599587479955517,360.0
15282,107479040,205,7033,0.0001,-1.4554723482578993,0.7278696000576019,-0.018394367769360542,0.3134229779243469,0.07055807113647461,0.0066713877,1629,-0.00227849437783334,0.2,2.433529530776468e-05,0.03599587479955517,360.0
15289,108003328,206,7063,0.0001,-1.4005651390179992,0.5166894197463989,-0.012866388075053692,0.31403619050979614,0.0673062801361084,0.00600304,1637,0.001198644480382427,0.2,0.0007888380418989982,0.03599587479955517,360.0
15297,108527616,207,7094,0.0001,-1.371250991243869,0.9224498122930527,-0.014314726926386356,0.3114171028137207,0.07360410690307617,0.0057172053,1645,0.00022710428265781957,0.2,5.240961161234736e-05,0.03599587479955517,360.0
15303,109051904,208,7125,0.0001,-1.347388458903879,0.6790699660778046,-0.008250134065747261,0.3119018077850342,0.0691993236541748,0.008565441,1653,0.001156635805955375,0.2,0.0010087926427786442,0.03599587479955517,360.0
15307,109576192,209,7158,0.0001,-1.3248873762786388,0.9441112540662289,-0.012205456383526325,0.3101547956466675,0.07372307777404785,0.007068879,1661,0.0008099503580751843,0.2,8.761052215788823e-05,0.06825889427680522,360.0
15315,110100480,210,7188,0.0001,-1.3078702013008296,0.12551045417785645,-0.01224419753998518,0.31013184785842896,0.0769801139831543,0.006072276,1669,0.0011928651738344342,0.2,0.0002929487837945999,0.06825889427680522,360.0
15322,110624768,211,7219,0.0001,-1.3082800810225308,0.1371864676475525,-0.013376819901168346,0.31050679087638855,0.06607532501220703,0.006946007,1677,0.0011709851503383106,0.2,0.0006172232840526704,0.06825889427680522,360.0
15329,111149056,212,7250,0.0001,-1.2905976413749158,0.8982999920845032,-0.013299765065312386,0.30934131145477295,0.07381796836853027,0.0062999106,1685,0.0008786320686340332,0.2,0.00015071766750907045,0.06825889427680522,360.0
15335,111673344,213,7281,0.0001,-1.287135396618396,0.6301916837692261,-0.013141312636435032,0.31035125255584717,0.06848788261413574,0.0046256823,1693,0.0013573473326005114,0.2,0.0008586993890276062,0.06825889427680522,360.0
15338,112197632,214,7314,0.0001,-1.2664283625781536,0.9269391447305679,-0.011644317768514156,0.3086961507797241,0.07042741775512695,0.0073777083,1701,0.0004240189957727125,0.2,0.00014551138747265213,0.026853829950559883,360.0
15345,112721920,215,7345,0.0001,-1.258209727704525,0.6886948049068451,-0.011900332756340504,0.30951282382011414,0.08348560333251953,0.0074087265,1709,0.0016364667762900353,0.2,0.0005233883533719563,0.026853829950559883,360.0
15352,113246208,216,7376,0.0001,-1.1673672068864107,0.7701151967048645,-0.015544443391263485,0.3030710816383362,0.06861090660095215,0.007769607,1717,-0.0028801726709843933,0.2,2.7405088864895788e-05,0.026853829950559883,360.0
15359,113770496,217,7407,0.0001,-1.1128468718379736,0.43907153606414795,-0.010698432102799416,0.30344194173812866,0.07580971717834473,0.006276789,1725,0.0014528407823490852,0.2,0.0007769153053232003,0.026853829950559883,360.0
15365,114294784,218,7438,0.0001,-1.07655582530424,0.9229166507720947,-0.012490561231970787,0.30070197582244873,0.0712728500366211,0.00597275,1733,0.0002983477836551174,0.2,4.7714219277850134e-05,0.026853829950559883,360.0
15371,114819072,219,7469,0.0001,-1.0543911587446928,0.6129003167152405,-0.009515938349068165,0.30137139558792114,0.07382869720458984,0.005172428,1741,0.001323419585105512,0.2,0.0010032689738181944,0.026853829950559883,360.0
15374,115343360,220,7502,0.0001,-1.0325086549855769,0.9340651109814644,-0.008815883658826351,0.2995856702327728,0.07248806953430176,0.0056467415,1749,0.0006418204168312514,0.2,7.448790648822978e-05,0.06546419655205682,360.0
15382,115867648,221,7532,0.0001,-1.0146703710779548,0.4286593794822693,-0.008826582692563534,0.29970642924308777,0.07087421417236328,0.006225412,1757,0.0011428103821344848,0.2,0.00038577494717628724,0.06546419655205682,360.0
15388,116391936,222,7563,0.0001,-0.9238840492907912,0.7747146338224411,-0.01282378938049078,0.2938176095485687,0.0731344223022461,0.0077615897,1765,-0.002436697300254309,0.2,2.6414698702126316e-05,0.06546419655205682,360.0
15395,116916224,223,7594,0.0001,-0.8779205339960754,0.5563705861568451,-0.007615064270794392,0.2945531904697418,0.08016157150268555,0.0070988815,1773,0.0014964727861297433,0.2,0.0007641562895059906,0.06546419655205682,360.0
15401,117440512,224,7625,0.0001,-0.8501306297257543,0.9242589324712753,-0.009613600559532642,0.2923964560031891,0.07948851585388184,0.0065455846,1781,0.0006363293061895092,0.2,4.6055803380795624e-05,0.06546419655205682,360.0
15403,117964800,225,7658,0.0001,-0.833736365661025,0.7189949154853821,-0.009369153529405594,0.2932230234146118,0.08347582817077637,0.0066748075,1789,0.0013527553917356272,0.2,0.0009531373564186651,0.10236369131132961,360.0
15410,118489088,226,7689,0.0001,-0.8413840364664793,0.7639296650886536,-0.006615322548896074,0.29352864623069763,0.08749055862426758,0.0074532256,1797,0.001845221335770475,0.2,0.0005160213639783251,0.10236369131132961,360.0
15416,119013376,227,7719,0.0001,-0.7870193431153893,0.8307754695415497,-0.007318604271858931,0.29008054733276367,0.06529021263122559,0.0062090973,1805,-0.0007430533853494126,0.2,3.954561063324036e-05,0.10236369131132961,360.0
15422,119537664,228,7750,0.0001,-0.7637833203189075,0.3539746403694153,-0.006111921276897192,0.291063517332077,0.07931637763977051,0.005210948,1813,0.0015582375283429428,0.2,0.0007620647393196123,0.10236369131132961,360.0
15428,120061952,229,7781,0.0001,-0.7390155529137701,0.9186008870601654,-0.007282934617251158,0.28905221819877625,0.09291696548461914,0.006077136,1821,0.0011758429852761765,0.2,0.0001392123684240687,0.10236369131132961,360.0
15434,120586240,230,7812,0.0001,-0.7252664298284799,0.6254795789718628,-0.005806151777505875,0.2899928689002991,0.07420063018798828,0.005072321,1829,0.0015876504089646915,0.2,0.0009325766122856294,0.10236369131132961,360.0
15436,121110528,231,7845,0.0001,-0.7130872621200979,0.9352783262729645,-0.006562656257301569,0.28866979479789734,0.08485603332519531,0.0068054134,1837,0.001127384497976891,0.2,9.37433876799787e-05,0.09090186550747603,360.0
15443,121634816,232,7876,0.0001,-0.7039283823687583,0.6534880101680756,-0.006943024229258299,0.28907620906829834,0.07948088645935059,0.0071535953,1845,0.0014155662311168271,0.2,0.0004574526527676426,0.09090186550747603,360.0
15450,122159104,233,7906,0.0001,-0.6136980943847448,0.7141515612602234,-0.009947519749403,0.2834087014198303,0.07950592041015625,0.008281437,1853,-0.0023489283223625534,0.2,2.650546588256475e-05,0.09090186550747603,360.0
15456,122683392,234,7937,0.0001,-0.5729177976027131,0.4798657298088074,-0.005177127197384834,0.2843575179576874,0.08047103881835938,0.005849858,1861,0.0017184990524583554,0.2,0.0008047186884141411,0.09090186550747603,360.0
15461,123207680,235,7968,0.0001,-0.5436942412052304,0.9221907928586006,-0.0037832772359251976,0.2821449935436249,0.08814549446105957,0.008245692,1869,0.0007931683558126679,0.2,5.307524671138708e-05,0.09090186550747603,360.0
15466,123731968,236,8000,0.0001,-0.5325720445252955,0.637096107006073,-0.005801425315439701,0.2831680178642273,0.08360743522644043,0.005751277,1877,0.0016255584744158114,0.2,0.00109543007783941,0.09090186550747603,360.0
